Cpt. Adamov|0 15 14 13 2 12 9 12 12 21 11 4 19 10 15 11 9 12 12 6 13 
Ducat|16 0 18 18 17 7 14 18 10 4 13 13 17 16 19 21 12 21 8 18 9 
Evgeny_MB|5 12 0 8 5 19 13 9 9 3 8 14 16 20 9 8 20 8 15 10 17 
Filchenkov|20 13 21 0 19 4 19 11 17 19 9 21 13 21 20 17 18 18 18 14 19 
Frut|3 9 2 5 0 10 7 2 5 10 2 5 10 4 3 4 7 5 9 5 6 
HPW-Dev|1 1 1 1 1 0 2 1 1 1 1 1 4 1 1 2 5 1 6 1 5 
Incvisitor|14 16 6 10 15 21 0 5 11 18 14 10 3 3 18 14 11 10 17 15 8 
Ksav|7 7 3 7 9 17 15 0 7 6 4 12 1 5 10 6 21 13 3 7 11 
Mikle|18 17 15 19 21 16 16 21 0 12 15 16 12 7 12 12 2 7 20 20 12 
POMAH|11 3 8 12 12 2 10 10 4 0 7 7 9 13 6 18 15 9 2 9 20 
PVSector|4 2 4 6 8 1 3 8 15 5 0 11 7 2 2 3 4 4 13 8 7 
R_Games|12 6 16 2 6 6 17 15 20 17 20 0 18 17 5 15 14 20 11 11 18 
Raion|9 11 9 17 11 11 5 14 14 14 17 17 0 19 14 7 3 6 10 19 1 
Rotmilll|19 20 20 15 14 13 12 13 19 11 19 15 15 0 16 19 10 11 19 21 21 
SNappy|17 19 17 21 20 18 21 20 18 16 10 6 5 9 0 20 19 19 16 12 16 
Shiv|21 21 12 16 16 20 18 19 21 20 21 19 20 18 21 0 16 16 21 17 15 
Swarm|15 14 13 14 7 15 20 3 6 15 6 9 14 12 13 16 0 15 14 2 14 
hostage[TEsT]|10 5 7 3 3 9 6 17 13 13 12 18 11 8 4 10 13 0 1 3 3 
killbot|13 18 10 20 18 14 11 16 16 7 18 20 21 14 17 13 17 17 0 16 10 
longwair|6 10 5 11 10 3 4 7 8 8 5 8 6 6 7 9 1 2 5 0 4 
mr.DIMAS|8 4 19 9 4 8 1 6 2 2 16 3 8 15 11 1 6 3 4 13 0 
Phoenics|2 8 11 4 13 5 8 4 3 9 3 2 2 11 8 5 8 14 7 4 2 
