    kreagen|0 6 8 0 4 3 5 7 7 0 5 6 6
 Incvisitor|6 0 6 0 3 3 8 1 6 0 5 7 3
   CStalker|7 9 0 0 6 4 10 8 8 0 7 9 8
    Neuedev|5 7 4 0 5 3.4 6 1 5 0 4 7 5
   Rotmilll|6 1 5 0 0 4.4 7 5 5 0 5 6 7
    ronniko|5 1 4 0 3 0 1 1 3 0 4 5 7
    aliskda|5 5 7 0 4 2 0 6 7 0 4 5 8
realstudent|3 3 5 0 2 2 4 0 3 0 3 4 4
    goodi52|4 4 6 0 3 3 6 4 0 0 5 6 6
     Daimos|5 5 8 0 4 5.6 9 6 7 0 5 7 8
      POMAH|4 1 6 0 2 5.8 3 3 3 0 0 6 2
    nklbdev|6 7 7 0 4 3 3 5 8 0 5 0 7
  PlusMinus|3 2 3 0 2 2 1 2 3 0 3 5 0
