user,sb3d,Archer_WL,D-Prince,al,Voltt,dyvniy,Alprog,LitRes,Nomad,AwilumIT
                    Pesets,10,9,9,4.2,9.5,10,10,7,8.1,X
                       vap,8,9,6,9.2,10,6,9,8,9.2,9.5
                    Leftiy,7,8,7,10,9,7,10,7,8.8,7
                  ztranger,2,9,10,8.1,8,10,8,X,7.7,X
                     Drish,9,9,8,8.6,8,6,8,8,5.6,8
                    beisik,7,6,5,8.2,7.5,5,9,9,8.8,X
                  Cstalker,7,8,6,6.4,6.5,4,7,X,7.4,6
                StormblasT,8,8,7,2.5,5,6,7,X,5.9,X
                    TarasB,6,4,5,8.8,6,4,9,X,5.6,5
                   Dampire,6,3,7,X,4,8,6,X,X,X
                    R.I.P.,7,3,5,9.9,4,6,6,X,X,4
Vlad Konung & Martin_Zimov,3,X,4,5.3,4,7,8,X,6.6,6
                Incvisitor,5,4,6,4.4,4.5,9,5,X,5.5,X
                BattleMech,2,7,5,2.2,3,10,6,X,6.2,7
                  Celestis,7,6,5,1.1,3.5,9,5,X,5.1,X
                     Jerzy,6,5,5,2.2,6,6,4,X,7.4,X
              Heavy Wizard,4,7,5,1.1,5.5,4,7,X,7,5
                   DodgeAG,4,5,X,2.8,2,8,4,X,6.6,X
                  GluKoBug,3,5,5,1.1,4.5,5,5,X,5.5,7
                     lQAZl,3,5,5,0.1,2,10,7,X,4.4,X
                        DF,3,7,4,1.1,4,4,7,X,5.1,5.5
                [Tarantul],3,X,5,3.1,4.5,5,6,X,X,4
                allcreater,2,6,5,3.6,4,2,6,X,7.7,3
              Viaceslav(C),4,4,X,1.1,2,9,3,X,6.6,X
              Unter(gotik),ZERO,X,X,X,X,5,3,X,4.4,X
           mindillusion.ru,3,4,4,2.2,2.5,7,5,X,4.4,X
                    Psycho,3,4,X,0.1,2,9,2,X,5.5,2
                   vic_tep,1,ZERO,X,1.7,X,7,ZERO,X,ZERO,X
                   unnamed,1,X,3,0.6,2,X,4,X,5.9,4
                 gforcer18,1,7,X,0.1,2.5,4,2,X,ZERO,2
