user,Sergio,Executor,Super_Inoy,Voltt,Slava_mib,Andrey
Universe of Wars,71.00,57.00,78.17,86.87,39.85,74.00
Cosmo Fortress,68.40,67.60,78.00,68.30,74.20,49.00
Lootbots,79.60,62.53,74.09,58.80,65.20,44.40
Повелитель пути,76.30,48.80,67.40,68.90,45.15,65.18
WH40k Dark Days,63.60,36.27,73.66,75.40,31.74,66.80
GemFire,12.39,29.80,79.70,75.70,76.80,42.67
Го,35.64,42.00,63.15,72.33,51.05,51.22
Unknown,62.50,35.30,61.30,62.80,11.98,59.53
Hexagon Defence,53.30,38.60,75.5,76,36.7,1.00
Оборона героев,39.89,30.60,52.94,62.40,34.38,47.35
Жестокая галактика,41.20,33.60,69.09,59.40,9.82,45.78
T-City,38.48,41.60,51.50,52.90,18.74,52.90
VovkChess,28.65,40.20,47.77,44.07,38.36,54.68
Galaxy Conqueror,46.20,36.40,50.67,61.00,1.00,48.13
Не съесть,29.15,41.90,68.40,33.10,16.74,49.72
Шторм: Линия обороны,14.31,20.10,68.50,50.60,10.45,68.06
ALIENS COMMANDO,13.82,27.80,47.80,65.93,14.31,45.10
Unnamed,17.90,22.70,40.00,42.13,9.82,53.44
Furricane,20.72,25.28,52.74,17.20,13.72,36.96
големы,12.18,22.50,30.15,30.80,9.82,43.79
SPARTA,22.71,16.60,41.50,57.30,1.00,9.90
Defence war,8.82,15.97,14.93,22.90,6.68,1.00
Fight for Glory,8.18,8.94,10.76,8.67,7.18,14.78
Император,1.00,19.97,13.53,0.00,1.00,18.72
