#,user,mass,_p1,_p2,_p3,_p4,_p5,_p6,_p7,_p8,_p10,_p11,_p12,_p13,_p14,_p15,_s16,_s17,tot
1,PlusMinus,3.86,0,5,5,5,4,5,4,4,5,6,6,3,5,4,5,8,74
2,563,4.86,1,0,2,3,1,4,5,4,3,2,2,2,3,1,5,1,39
3,romanshuvalov,5.00,5,6,0,6,5,6,4,7,7,7,9,7,8,5,6,8,96
4,alexxxdev,4.93,4,3,6,0,7,5,5,6,5,7,6,5,6,4,3,1,73
5,kreagen,4.64,4,4,4,5,0,4,4,5,6,8,10,6,5,6,5,10,86
6,EWF,5.14,6,3,4,6,4,0,4,7,4,8,5,3,4,2,5,7,72
7,Вий,4.21,5,5,9,4,4,3,0,7,5,8,4,5,6,4,1,5,75
8,emptiness_rain,5.71,5,6,5,5,5,6,10,0,6,7,8,8,6,4,6,9,96
9,Phoenics,0.00,4,6,5,4,4,7,3,6,6,9,8,7,7,5,6,1,88
10,ilyakos,5.21,3,7,7,6,4,6,4,5,0,7,5,4,7,7,7,1,80
11,seaman,6.50,2,5,3,5,4,5,3,6,5,0,5,3,4,3,5,5,63
12,Vitorio,5.86,5,5,5,5,6,4,2,8,6,5,0,6,5,1,4,6,73
13,Poupureen,5.00,1,2,2,3,5,5,2,4,3,3,2,0,4,4,4,1,45
14,CStalker,5.29,7,8,7,7,7,8,8,7,9,8,7,5,0,3,3,10,104
15,Rotmilll,3.79,2,3,6,5,5,4,1,4,3,6,5,6,4,0,7,1,62
